CATALOGUE PRODUITS TARNNETZ
===========================
Handle (slug produit) | Option 1 (couleur/forme) | Option 2 (dimensions) | SKU | Prix TTC (€)

--- ÉCHANTILLONS ---
muster-eines-verstarkten-tarnnetzes | Beige | - | 3760388670185 | 9,90
muster-eines-verstarkten-tarnnetzes | Weiße | - | 3760388670178 | 9,90
muster-eines-verstarkten-tarnnetzes | Grau | - | 3760388677900 | 9,90
muster-eines-verstarkten-tarnnetzes | Grüne | - | 3760388670154 | 9,90
muster-eines-verstarkten-tarnnetzes | Bundeswehr | - | 3760388670147 | 9,90
muster-eines-verstarkten-tarnnetzes | Blau | - | 3760388677894 | 9,90
muster-eines-verstarkten-tarnnetzes | Schwarz | - | 3760388670161 | 9,90

--- SONNENSEGEL KOKOSFASER ---
sonnensegel-kokosfaser | Dreieck | 2x2x2 | 3760388678419 | 89,90
sonnensegel-kokosfaser | Dreieck | 3x3x3 | 3760388678402 | 129,90
sonnensegel-kokosfaser | Dreieck | 3.5x3.5x3.5 | 3760388678396 | 169,90
sonnensegel-kokosfaser | Dreieck | 3x4x5 | 3760388678389 | 189,90
sonnensegel-kokosfaser | Dreieck | 4x4x4 | 3760388678372 | 219,90
sonnensegel-kokosfaser | Dreieck | 5x5x5 | 3760388678365 | 339,90
sonnensegel-kokosfaser | Quadrat | 2x2 | 3760388678358 | 109,90
sonnensegel-kokosfaser | Quadrat | 3x3 | 3760388678341 | 229,90
sonnensegel-kokosfaser | Quadrat | 3.5x3.5 | 3760388678334 | 299,90
sonnensegel-kokosfaser | Quadrat | 4x4 | 3760388678327 | 399,90
sonnensegel-kokosfaser | Rechteck | 2x3 | 3760388678310 | 149,90
sonnensegel-kokosfaser | Rechteck | 2x4 | 3760388678303 | 199,90
sonnensegel-kokosfaser | Rechteck | 2x5 | 3760388678297 | 249,90
sonnensegel-kokosfaser | Rechteck | 2x6 | 3760388678280 | 299,90
sonnensegel-kokosfaser | Rechteck | 3x4 | 3760388678273 | 299,90
sonnensegel-kokosfaser | Rechteck | 3x5 | 3760388678266 | 369,90
sonnensegel-kokosfaser | Rechteck | 3x6 | 3760388678259 | 449,90
sonnensegel-kokosfaser | Rechteck | 3x7 | 3760388678242 | 519,90
sonnensegel-kokosfaser | Rechteck | 4x5 | 3760388678235 | 499,90
sonnensegel-kokosfaser | Rechteck | 4x6 | 3760388678228 | 599,90

--- STAHLSEIL POUR SONNENSEGEL ---
stahlseil-fur-sonnensegel-in-tarnfarbe | 7,5m | - | 3760388679188 | 14,90
stahlseil-fur-sonnensegel-in-tarnfarbe | 15m | - | 3760388679171 | 22,90
stahlseil-fur-sonnensegel-in-tarnfarbe | 30m | - | 3760388679164 | 39,99

--- VORHANG KOKOSFASERN ---
vorhang-aus-kokosfasern | 2x2 | - | 3760388679218 | 98,90
vorhang-aus-kokosfasern | 2x4 | - | 3760388679201 | 189,90

--- SEIL KOKOSFASERN ---
seil-aus-kokosfasern | Default Title | - | 3760388678426 | 19,90

--- BEFESTIGUNGSSEIL POLYESTER ---
befestigungsseil-aus-geflochtenem-polyester | Beige | 7,5M | 3760388670093 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Beige | 15M | 3760388670055 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Beige | 30M | 3760388670017 | 14,90
befestigungsseil-aus-geflochtenem-polyester | Weiß | 7,5M | 3760388670086 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Weiß | 15M | 3760388670048 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Weiß | 30M | 3760388670000 | 14,90
befestigungsseil-aus-geflochtenem-polyester | Grau | 7,5M | 3760388677962 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Grau | 15M | 3760388677931 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Grau | 30M | 3760388677955 | 14,90
befestigungsseil-aus-geflochtenem-polyester | Grün | 7,5M | 3760388670062 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Grün | 15M | 3760388670024 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Grün | 30M | 3770030527989 | 14,90
befestigungsseil-aus-geflochtenem-polyester | Schwarz | 7,5M | 3760388670079 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Schwarz | 15M | 3760388670031 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Schwarz | 30M | 3770030527996 | 14,90
befestigungsseil-aus-geflochtenem-polyester | Blau | 7,5M | 3760388677948 | 6,90
befestigungsseil-aus-geflochtenem-polyester | Blau | 15M | 3760388677917 | 9,90
befestigungsseil-aus-geflochtenem-polyester | Blau | 30M | 3760388677924 | 14,90

--- TARNNETZ AVEC CÂBLE ACIER ---
tarnnetz-mit-stahlseil | Weiss | 3x4 | 3760388670123 | 152,90
tarnnetz-mit-stahlseil | Weiss | 3x5 | 3760388679157 | 189,90
tarnnetz-mit-stahlseil | Weiss | 3x6 | 3760388679140 | 229,90
tarnnetz-mit-stahlseil | Weiss | 4x4 | 3760388679133 | 198,90
tarnnetz-mit-stahlseil | Weiss | 4x5 | 3760388678440 | 249,90
tarnnetz-mit-stahlseil | Weiss | 4x6 | 3760388679126 | 299,90
tarnnetz-mit-stahlseil | Beige | 3x4 | 3760388670130 | 152,90
tarnnetz-mit-stahlseil | Beige | 3x5 | 3760388679119 | 189,90
tarnnetz-mit-stahlseil | Beige | 3x6 | 3760388679102 | 229,90
tarnnetz-mit-stahlseil | Beige | 4x4 | 3760388679096 | 198,90
tarnnetz-mit-stahlseil | Beige | 4x5 | 3760388678433 | 249,90
tarnnetz-mit-stahlseil | Beige | 4x6 | 3760388679195 | 299,90
tarnnetz-mit-stahlseil | Bundeswehr | 3x4 | 3760388670109 | 152,90
tarnnetz-mit-stahlseil | Schwarz | 3x4 | 3760388670116 | 152,90

--- TARNNETZ GRAU (rectangles) ---
tarnnetz-grau | 2x2 | - | 3760388677313 | 49,99
tarnnetz-grau | 2x3 | - | 3760388677290 | 59,99
tarnnetz-grau | 2x4 | - | 3760388677283 | 79,99
tarnnetz-grau | 2x5 | - | 3760388677276 | 98,99
tarnnetz-grau | 2x6 | - | 3760388677269 | 117,99
tarnnetz-grau | 2x7 | - | 3760388677252 | 137,99
tarnnetz-grau | 2x8 | - | 3760388677245 | 156,99
tarnnetz-grau | 2x9 | - | 3760388678853 | 176,99
tarnnetz-grau | 2x10 | - | 3760388677320 | 196,99
tarnnetz-grau | 3x3 | - | 3760388677214 | 88,99
