═══════════════════════════════════════════════════
PRIX HT STANDARDS — BOUTIQUE HET
═══════════════════════════════════════════════════

Ce document contient les prix HT (€) par taux de TVA pour TOUS les produits standards.

⚠️ UTILISATION : copier directement le HT correspondant au taux TVA du client.
   NE JAMAIS recalculer un HT depuis le TTC catalogue (risque de double TVA).
   IMPORTANT : pour identifier le bon produit, croiser COULEUR + TAILLE + FINITION.
   Si la combinaison demandée n'apparaît PAS dans cette table → produit sur-mesure obligatoire.

Taux de TVA par pays client :
  0%=LIC/export | 17%=LU | 18%=MT | 19%=DE,RO,CY | 20%=FR,AT,BG | 21%=ES,NL,BE,CZ,LT,LV
  22%=IT,SI,EE | 23%=PT,PL,IE,SK | 24%=GR | 25%=SE,DK,HR | 25,5%=FI | 27%=HU


═══ ACCESSOIRES DIVERS ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Default Title                       | Default Ti | 3760263850053  |   39.90 |  39.90 |  34.10 |  33.81 |  33.53 |  33.25 |  32.98 |  32.70 |  32.44 |  32.18 |  31.92 |  31.79 |  31.42
Noir                                | Noir       | 3770030527866  |    6.90 |   6.90 |   5.90 |   5.85 |   5.80 |   5.75 |   5.70 |   5.66 |   5.61 |   5.56 |   5.52 |   5.50 |   5.43
Blanc                               | Blanc      | 3760388676989  |    6.90 |   6.90 |   5.90 |   5.85 |   5.80 |   5.75 |   5.70 |   5.66 |   5.61 |   5.56 |   5.52 |   5.50 |   5.43
Default Title                       | Default Ti | 3770030527903  |   29.90 |  29.90 |  25.56 |  25.34 |  25.13 |  24.92 |  24.71 |  24.51 |  24.31 |  24.11 |  23.92 |  23.82 |  23.54
Default Title                       | Default Ti | 3770030527972  |   19.90 |  19.90 |  17.01 |  16.86 |  16.72 |  16.58 |  16.45 |  16.31 |  16.18 |  16.05 |  15.92 |  15.86 |  15.67
Default Title                       | Default Ti | 3760388678426  |   19.90 |  19.90 |  17.01 |  16.86 |  16.72 |  16.58 |  16.45 |  16.31 |  16.18 |  16.05 |  15.92 |  15.86 |  15.67
Default Title                       | Default Ti | 3760263850015  |   39.90 |  39.90 |  34.10 |  33.81 |  33.53 |  33.25 |  32.98 |  32.70 |  32.44 |  32.18 |  31.92 |  31.79 |  31.42
Default Title                       | Default Ti | 3760263850060  |  199.90 | 199.90 | 170.85 | 169.41 | 167.98 | 166.58 | 165.21 | 163.85 | 162.52 | 161.21 | 159.92 | 159.28 | 157.40

