sku,typologie,forme,matiere,couleur,taille,ttc_ref_lfc,status,notes,label_source,store_source
3760388679171,accessoire,cable,acier,n/a,15m,22.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] 15m | 15m,LFC
3760388679164,accessoire,cable,acier,n/a,30m,39.99,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] 30m | 30m,LFC
3760388679188,accessoire,cable,acier,n/a,7.5m,14.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] 7.5m | 7.5m,LFC
3760388678426,accessoire,corde,coco,naturel,20m,19.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Corde en fibre de coco | 1 pièce,LFC
3760263850015,accessoire,base ancrage,n/a,n/a,1 pièce,34.99,OK,,"[ACCESSOIRES - MATS, POTEAUX ET FIXATIONS] Base d'ancrage aluminium | 1 pièce",LFC
3760263850053,accessoire,borne solaire,n/a,n/a,1 pièce,39.90,OK,,[DIVERS] Borne solaire | 1 pièce,LFC
3770030527972,accessoire,corde à cliquets,n/a,n/a,lot de 4,19.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Cordes à cliquets | lot de 4,LFC
3770030527903,accessoire,kit de fixation,n/a,n/a,1 pièce,29.90,OK,,"[ACCESSOIRES - MATS, POTEAUX ET FIXATIONS] Kit de fixation | 1 pièce",LFC
3760263850060,accessoire,mât télescopique,n/a,n/a,1 pièce,189.99,OK,,"[ACCESSOIRES - MATS, POTEAUX ET FIXATIONS] Mât télescopique aluminium | 1 pièce",LFC
3760388676989,accessoire,rislan,n/a,blanc,N/A,6.90,OK,,"[ACCESSOIRES - MATS, POTEAUX ET FIXATIONS] Blanc | Blanc",LFC
3770030527866,accessoire,rislan,n/a,noir,N/A,6.90,OK,,"[ACCESSOIRES - MATS, POTEAUX ET FIXATIONS] Noir | Noir",LFC
3760388670048,accessoire,corde,polyester,blanc,15m,9.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Blanc | Blanc,LFC
3760388670000,accessoire,corde,polyester,blanc,30m,14.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Blanc | Blanc,LFC
3760388670086,accessoire,corde,polyester,blanc,"7,5m",6.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Blanc | Blanc,LFC
3760388677917,accessoire,corde,polyester,bleu,15m,9.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Bleu | Bleu,LFC
3760388677924,accessoire,corde,polyester,bleu,30m,14.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Bleu | Bleu,LFC
3760388677948,accessoire,corde,polyester,bleu,"7,5m",6.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Bleu | Bleu,LFC
3760388677931,accessoire,corde,polyester,gris,15m,9.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Gris | Gris,LFC
3760388677955,accessoire,corde,polyester,gris,30m,14.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Gris | Gris,LFC
3760388677962,accessoire,corde,polyester,gris,"7,5m",6.90,OK,,[ACCESSOIRES - CORDES ET FIXATIONS] Gris | Gris,LFC
